Trial,Bandit,Reward,Algorithm
595,4,0,ThompsonSampling
596,4,0,ThompsonSampling
597,4,0.4,ThompsonSampling
598,4,0.4,ThompsonSampling
599,4,0,ThompsonSampling
600,4,0,ThompsonSampling
601,4,0,ThompsonSampling
602,4,0,ThompsonSampling
603,4,0.4,ThompsonSampling
604,4,0.4,ThompsonSampling
605,4,0.4,ThompsonSampling
606,4,0.4,ThompsonSampling
607,4,0.4,ThompsonSampling
608,4,0.4,ThompsonSampling
609,4,0,ThompsonSampling
610,4,0,ThompsonSampling
611,4,0,ThompsonSampling
612,4,0,ThompsonSampling
613,4,0.4,ThompsonSampling
614,4,0.4,ThompsonSampling
615,4,0.4,ThompsonSampling
616,4,0,ThompsonSampling
617,4,0,ThompsonSampling
618,4,0,ThompsonSampling
619,4,0,ThompsonSampling
620,4,0,ThompsonSampling
621,4,0.4,ThompsonSampling
622,4,0.4,ThompsonSampling
623,4,0.4,ThompsonSampling
624,4,0,ThompsonSampling
625,4,0,ThompsonSampling
626,4,0.4,ThompsonSampling
627,4,0.4,ThompsonSampling
628,4,0.4,ThompsonSampling
629,4,0,ThompsonSampling
630,4,0.4,ThompsonSampling
631,4,0,ThompsonSampling
632,4,0,ThompsonSampling
633,4,0.4,ThompsonSampling
634,4,0.4,ThompsonSampling
635,4,0,ThompsonSampling
636,4,0.4,ThompsonSampling
637,4,0,ThompsonSampling
638,4,0,ThompsonSampling
639,4,0,ThompsonSampling
640,4,0.4,ThompsonSampling
641,4,0,ThompsonSampling
642,4,0,ThompsonSampling
643,4,0,ThompsonSampling
644,4,0,ThompsonSampling
645,4,0,ThompsonSampling
646,4,0,ThompsonSampling
647,4,0,ThompsonSampling
648,4,0.4,ThompsonSampling
649,4,0.4,ThompsonSampling
650,4,0.4,ThompsonSampling
651,4,0.4,ThompsonSampling
652,4,0,ThompsonSampling
653,4,0,ThompsonSampling
654,4,0,ThompsonSampling
655,4,0,ThompsonSampling
656,4,0,ThompsonSampling
657,4,0,ThompsonSampling
658,4,0,ThompsonSampling
659,4,0,ThompsonSampling
660,4,0,ThompsonSampling
661,4,0,ThompsonSampling
662,4,0.4,ThompsonSampling
663,4,0,ThompsonSampling
664,4,0,ThompsonSampling
665,4,0.4,ThompsonSampling
666,4,0,ThompsonSampling
667,4,0,ThompsonSampling
668,4,0.4,ThompsonSampling
669,4,0.4,ThompsonSampling
670,4,0.4,ThompsonSampling
671,4,0,ThompsonSampling
672,4,0.4,ThompsonSampling
673,4,0,ThompsonSampling
674,4,0.4,ThompsonSampling
675,4,0,ThompsonSampling
676,4,0,ThompsonSampling
677,4,0,ThompsonSampling
678,4,0,ThompsonSampling
679,4,0,ThompsonSampling
680,4,0,ThompsonSampling
681,4,0.4,ThompsonSampling
682,4,0,ThompsonSampling
683,4,0,ThompsonSampling
684,4,0,ThompsonSampling
685,3,0,ThompsonSampling
686,4,0.4,ThompsonSampling
687,4,0,ThompsonSampling
688,4,0,ThompsonSampling
689,4,0.4,ThompsonSampling
690,4,0,ThompsonSampling
691,4,0,ThompsonSampling
692,4,0,ThompsonSampling
693,4,0,ThompsonSampling
694,4,0,ThompsonSampling
695,4,0,ThompsonSampling
696,4,0,ThompsonSampling
697,4,0.4,ThompsonSampling
698,4,0.4,ThompsonSampling
699,4,0,ThompsonSampling
700,4,0,ThompsonSampling
701,4,0,ThompsonSampling
702,4,0.4,ThompsonSampling
703,4,0.4,ThompsonSampling
704,4,0,ThompsonSampling
705,4,0,ThompsonSampling
706,4,0,ThompsonSampling
707,4,0.4,ThompsonSampling
708,4,0,ThompsonSampling
709,4,0,ThompsonSampling
710,4,0,ThompsonSampling
711,4,0,ThompsonSampling
712,4,0,ThompsonSampling
713,4,0,ThompsonSampling
714,4,0,ThompsonSampling
715,4,0,ThompsonSampling
716,4,0,ThompsonSampling
717,4,0.4,ThompsonSampling
718,4,0,ThompsonSampling
719,4,0.4,ThompsonSampling
720,4,0,ThompsonSampling
721,4,0.4,ThompsonSampling
722,4,0,ThompsonSampling
723,4,0,ThompsonSampling
724,4,0,ThompsonSampling
725,4,0,ThompsonSampling
726,4,0,ThompsonSampling
727,4,0,ThompsonSampling
728,4,0,ThompsonSampling
729,4,0.4,ThompsonSampling
730,4,0.4,ThompsonSampling
731,4,0.4,ThompsonSampling
732,4,0,ThompsonSampling
733,4,0.4,ThompsonSampling
734,4,0,ThompsonSampling
735,4,0.4,ThompsonSampling
736,4,0,ThompsonSampling
737,4,0,ThompsonSampling
738,4,0.4,ThompsonSampling
739,4,0,ThompsonSampling
740,4,0.4,ThompsonSampling
741,2,0,ThompsonSampling
742,4,0.4,ThompsonSampling
743,4,0.4,ThompsonSampling
744,4,0,ThompsonSampling
745,4,0,ThompsonSampling
746,4,0,ThompsonSampling
747,4,0,ThompsonSampling
748,4,0.4,ThompsonSampling
749,4,0,ThompsonSampling
750,4,0,ThompsonSampling
751,4,0.4,ThompsonSampling
752,4,0,ThompsonSampling
753,4,0,ThompsonSampling
754,4,0,ThompsonSampling
755,4,0.4,ThompsonSampling
756,4,0.4,ThompsonSampling
757,4,0.4,ThompsonSampling
758,4,0.4,ThompsonSampling
759,4,0.4,ThompsonSampling
760,4,0,ThompsonSampling
761,4,0,ThompsonSampling
762,4,0,ThompsonSampling
763,4,0.4,ThompsonSampling
764,4,0,ThompsonSampling
765,4,0.4,ThompsonSampling
766,4,0.4,ThompsonSampling
767,4,0,ThompsonSampling
768,4,0,ThompsonSampling
769,4,0.4,ThompsonSampling
770,4,0,ThompsonSampling
771,4,0.4,ThompsonSampling
772,4,0,ThompsonSampling
773,4,0,ThompsonSampling
774,4,0,ThompsonSampling
775,4,0.4,ThompsonSampling
776,4,0,ThompsonSampling
777,4,0.4,ThompsonSampling
778,4,0.4,ThompsonSampling
779,4,0,ThompsonSampling
780,4,0,ThompsonSampling
781,4,0.4,ThompsonSampling
782,4,0.4,ThompsonSampling
783,4,0.4,ThompsonSampling
784,4,0,ThompsonSampling
785,4,0.4,ThompsonSampling
786,4,0,ThompsonSampling
787,4,0.4,ThompsonSampling
788,4,0,ThompsonSampling
789,4,0.4,ThompsonSampling
790,4,0,ThompsonSampling
791,4,0.4,ThompsonSampling
792,4,0.4,ThompsonSampling
793,4,0,ThompsonSampling
794,4,0.4,ThompsonSampling
795,4,0,ThompsonSampling
796,4,0.4,ThompsonSampling
797,4,0,ThompsonSampling
798,4,0,ThompsonSampling
799,4,0,ThompsonSampling
800,4,0,ThompsonSampling
801,4,0,ThompsonSampling
802,4,0,ThompsonSampling
803,4,0.4,ThompsonSampling
804,4,0.4,ThompsonSampling
805,4,0.4,ThompsonSampling
806,4,0.4,ThompsonSampling
807,4,0.4,ThompsonSampling
808,4,0.4,ThompsonSampling
809,4,0,ThompsonSampling
810,4,0.4,ThompsonSampling
811,4,0,ThompsonSampling
812,4,0.4,ThompsonSampling
813,4,0,ThompsonSampling
814,4,0.4,ThompsonSampling
815,4,0,ThompsonSampling
816,4,0.4,ThompsonSampling
817,4,0,ThompsonSampling
818,4,0,ThompsonSampling
819,4,0.4,ThompsonSampling
820,4,0.4,ThompsonSampling
821,4,0,ThompsonSampling
822,4,0,ThompsonSampling
823,4,0.4,ThompsonSampling
824,4,0.4,ThompsonSampling
825,4,0,ThompsonSampling
826,4,0.4,ThompsonSampling
827,4,0,ThompsonSampling
828,4,0,ThompsonSampling
829,4,0.4,ThompsonSampling
830,4,0.4,ThompsonSampling
831,4,0,ThompsonSampling
832,4,0.4,ThompsonSampling
833,4,0,ThompsonSampling
834,4,0,ThompsonSampling
835,4,0,ThompsonSampling
836,4,0,ThompsonSampling
837,4,0.4,ThompsonSampling
838,4,0,ThompsonSampling
839,4,0.4,ThompsonSampling
840,4,0,ThompsonSampling
841,4,0,ThompsonSampling
842,4,0.4,ThompsonSampling
843,4,0.4,ThompsonSampling
844,4,0,ThompsonSampling
845,4,0,ThompsonSampling
846,4,0,ThompsonSampling
847,4,0.4,ThompsonSampling
848,4,0.4,ThompsonSampling
849,4,0,ThompsonSampling
850,4,0,ThompsonSampling
851,4,0.4,ThompsonSampling
852,4,0.4,ThompsonSampling
853,4,0,ThompsonSampling
854,4,0.4,ThompsonSampling
855,4,0.4,ThompsonSampling
856,4,0,ThompsonSampling
857,4,0,ThompsonSampling
